Date,Open,High,Low,Close*,Adj. close**,Volume
02-Aug-17,225.6,228.9,222.55,228.2,227.16,"63,97,948"
03-Aug-17,227.8,227.8,220.2,220.95,219.95,"1,02,54,636"
04-Aug-17,218.35,225.9,218.35,225.25,224.23,"57,60,887"
07-Aug-17,226.35,228.7,224.1,227.65,226.62,"49,51,339"
08-Aug-17,233,244.9,232.3,234.9,233.83,"2,48,97,407"
09-Aug-17,237.7,243.2,237.4,239.45,238.36,"1,28,44,802"
10-Aug-17,239,244.8,234.75,238,236.92,"1,08,97,284"
11-Aug-17,235,235,218,221,220,"2,11,26,006"
14-Aug-17,223.1,231.7,223.1,229.15,228.11,"1,08,91,996"
16-Aug-17,232.25,236.3,227.15,233.6,232.54,"1,02,36,544"
17-Aug-17,236.5,239.5,227.8,230.3,229.26,"1,03,10,147"
18-Aug-17,227,232.55,225.75,230.05,229.01,"1,07,50,779"
21-Aug-17,233.8,236.5,223.95,224.9,223.88,"70,18,024"
22-Aug-17,228,231.65,225.8,228.9,227.86,"1,22,01,333"
23-Aug-17,230,231.5,225.85,230.9,229.85,"71,89,281"
24-Aug-17,232,234.65,230.3,233,231.94,"94,92,099"
28-Aug-17,234.2,235.5,231.8,233.55,232.49,"51,52,003"
29-Aug-17,234,234.25,226.6,227.3,226.27,"90,95,620"
30-Aug-17,230.85,237.7,230.15,236.35,235.28,"1,26,85,001"
31-Aug-17,237.8,239.45,235.1,238,236.92,"2,32,00,769"
01-Sep-17,239.25,245,238.05,243.75,242.64,"98,52,014"
04-Sep-17,244.45,247,237.55,242.45,241.35,"1,12,83,027"
05-Sep-17,243.2,244.35,240.2,241.9,241.9,"37,76,840"
06-Sep-17,236,246.7,236,245.8,245.8,"96,88,366"
07-Sep-17,247.5,251.25,245.65,249.95,249.95,"1,13,30,389"
08-Sep-17,251.75,255.45,246.65,249.55,249.55,"1,18,86,595"
11-Sep-17,251.45,252.5,246.6,250.05,250.05,"65,80,356"
12-Sep-17,250.5,254.6,249.5,250.95,250.95,"68,12,508"
13-Sep-17,250.25,251.7,246.35,248,248,"43,23,093"
14-Sep-17,249.3,252,244.45,247.2,247.2,"73,07,378"
15-Sep-17,245.05,249.7,241.4,247.8,247.8,"88,09,971"
18-Sep-17,248.6,251.35,247.75,249.5,249.5,"55,70,498"
19-Sep-17,250.4,250.4,245.6,246.5,246.5,"49,38,461"
20-Sep-17,247.4,248.95,241.8,244.1,244.1,"99,17,420"
21-Sep-17,245.5,245.8,236.3,244.55,244.55,"98,88,709"
22-Sep-17,243.3,243.3,229.1,230.9,230.9,"1,44,54,217"
25-Sep-17,231.4,232.5,223.3,229.1,229.1,"92,48,669"
26-Sep-17,228.25,235.35,227.8,234.6,234.6,"76,02,977"
27-Sep-17,234.75,235.2,230.7,233.65,233.65,"65,69,514"
28-Sep-17,232.5,239.7,232.35,238.45,238.45,"1,51,96,210"
29-Sep-17,241.3,242.65,238.6,240.6,240.6,"91,89,997"
03-Oct-17,242.5,244.7,238.2,241.6,241.6,"49,86,233"
